CPU: Intel Architectural Perfmon, speed 2666.84 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 100000
samples  %        app name                 symbol name
448       0.0450  vmlinux                  __xen_evtchn_do_upcall
403       0.0405  vmlinux                  rb_buffer_peek
399       0.0401  vmlinux                  ring_buffer_consume
392       0.0394  oprofile                 sync_buffer
380       0.0382  vmlinux                  native_read_tsc
373       0.0375  vmlinux                  __free_pages_ok
370       0.0372  vmlinux                  _raw_spin_lock_irqsave
366       0.0368  oprofiled                opd_process_samples
339       0.0341  xen-syms                 rcu_pending
337       0.0339  xen-syms                 _spin_unlock_irq
328       0.0330  xen-syms                 radix_tree_lookup_element
325       0.0327  vmlinux                  rb_advance_reader
285       0.0286  vmlinux                  _raw_spin_lock
282       0.0283  xen-syms                 do_IRQ
280       0.0281  vmlinux                  __count_vm_events
269       0.0270  vmlinux                  handle_level_irq
244       0.0245  ixgbevf                  ixgbevf_clean_rxonly
244       0.0245  oprofiled                sfile_log_sample_count
243       0.0244  vmlinux                  free_hot_cold_page
236       0.0237  vmlinux                  radix_tree_lookup_element
231       0.0232  vmlinux                  policy_zonelist
230       0.0231  vmlinux                  handle_IRQ_event
224       0.0225  vmlinux                  zone_statistics
219       0.0220  vmlinux                  alloc_slab_page
209       0.0210  oprofile                 add_event_entry
208       0.0209  xen-syms                 do_physdev_op
202       0.0203  vmlinux                  arch_local_irq_save
202       0.0203  vmlinux                  expand.clone.36
200       0.0201  xen-syms                 __copy_from_user_ll
199       0.0200  vmlinux                  rb_event_length
196       0.0197  vmlinux                  zone_page_state_add
196       0.0197  vmlinux                  zone_watermark_ok
192       0.0193  xen-syms                 IRQ0xfa_interrupt
187       0.0188  oprofiled                pop_buffer_value
183       0.0184  vmlinux                  __do_softirq
177       0.0178  vmlinux                  run_timer_softirq
170       0.0171  vmlinux                  handle_percpu_irq
167       0.0168  vmlinux                  arch_local_irq_save
165       0.0166  vmlinux                  __nr_to_section
161       0.0162  vmlinux                  arch_local_irq_save
158       0.0159  vmlinux                  node_zonelist
157       0.0158  xen-syms                 evtchn_set_pending
151       0.0152  oprofiled                odb_open_count
146       0.0147  oprofiled                find_kernel_image
146       0.0147  xen-syms                 send_guest_pirq
142       0.0143  oprofile                 op_cpu_buffer_read_entry
139       0.0140  vmlinux                  arch_local_irq_save
139       0.0140  vmlinux                  ring_buffer_lock_reserve
139       0.0140  vmlinux                  slab_node
138       0.0139  vmlinux                  policy_nodemask
138       0.0139  vmlinux                  update_wall_time
137       0.0138  xen-syms                 remove_from_heap.clone.2
136       0.0137  vmlinux                  evtchn_from_irq
132       0.0133  vmlinux                  rb_event_data
122       0.0123  xen-syms                 timer_softirq_action
119       0.0120  vmlinux                  compound_order
118       0.0119  xen-syms                 _spin_lock
113       0.0114  vmlinux                  xen_irq_enable_direct
109       0.0110  vmlinux                  arch_local_irq_restore
109       0.0110  vmlinux                  mask_evtchn
105       0.0106  vmlinux                  rb_end_commit
105       0.0106  vmlinux                  rb_reserve_next_event
105       0.0106  vmlinux                  scheduler_tick
103       0.0104  oprofile                 xenoprof_add_pc
102       0.0103  vmlinux                  ring_buffer_event_length
100       0.0100  vmlinux                  account_system_time
100       0.0100  vmlinux                  page_zone.clone.19
98        0.0098  vmlinux                  idle_cpu
95        0.0095  xen-syms                 _spin_lock_irqsave
93        0.0093  vmlinux                  task_tick_fair
91        0.0091  xen-syms                 do_iret
90        0.0090  vmlinux                  ktime_get
90        0.0090  vmlinux                  unmask_evtchn
88        0.0088  vmlinux                  get_pageblock_migratetype
88        0.0088  vmlinux                  rb_next
87        0.0087  vmlinux                  arch_local_irq_restore
86        0.0086  vmlinux                  clear_evtchn
84        0.0084  xen-syms                 get_s_time
83        0.0083  vmlinux                  arch_local_irq_restore
80        0.0080  vmlinux                  hrtimer_interrupt
80        0.0080  xen-syms                 do_softirq
78        0.0078  vmlinux                  copy_user_generic_string
78        0.0078  xen-syms                 irq_complete_move
76        0.0076  vmlinux                  xen_timer_interrupt
75        0.0075  vmlinux                  arch_local_irq_enable
73        0.0073  vmlinux                  __rcu_pending
72        0.0072  vmlinux                  arch_local_irq_disable
71        0.0071  vmlinux                  rcu_bh_qs
71        0.0071  vmlinux                  xen_hypervisor_callback
69        0.0069  oprofile                 xenoprof_ovf_interrupt
68        0.0068  vmlinux                  run_posix_cpu_timers
68        0.0068  xen-syms                 create_bounce_frame
66        0.0066  xen-syms                 set_timer
62        0.0062  vmlinux                  pirq_unmask_notify
62        0.0062  xen-syms                 reprogram_timer
61        0.0061  xen-syms                 desc_guest_eoi
61        0.0061  xen-syms                 pirq_spin_lock_irq_desc
60        0.0060  oprofile                 op_cpu_buffer_write_reserve
59        0.0059  xen-syms                 ack_maskable_msi_irq
56        0.0056  vmlinux                  cpu_evtchn_mask
56        0.0056  vmlinux                  pirq_from_irq
56        0.0056  vmlinux                  rb_ok_to_lock
55        0.0055  vmlinux                  exit_idle
55        0.0055  vmlinux                  page_count
54        0.0054  vmlinux                  note_interrupt
53        0.0053  vmlinux                  __run_hrtimer
53        0.0053  vmlinux                  rb_event_is_commit.clone.18
53        0.0053  xen-syms                 do_vcpu_op
52        0.0052  vmlinux                  cpuacct_update_stats
52        0.0052  vmlinux                  update_curr
52        0.0052  xen-syms                 async_exception_cleanup
51        0.0051  vmlinux                  __percpu_counter_add
50        0.0050  vmlinux                  find_first_bit
50        0.0050  vmlinux                  mask_ack_irq
48        0.0048  vmlinux                  perf_event_task_tick
48        0.0048  xen-syms                 copy_from_user
46        0.0046  vmlinux                  irq_work_run
46        0.0046  vmlinux                  update_vsyscall
45        0.0045  vmlinux                  rcu_irq_enter
45        0.0045  xen-syms                 migrate_timer
44        0.0044  oprofiled                enough_remaining
43        0.0043  vmlinux                  error_entry
42        0.0042  oprofiled                code_xen_enter
42        0.0042  vmlinux                  error_exit
42        0.0042  xen-syms                 process_softirqs
41        0.0041  vmlinux                  __raise_softirq_irqoff.clone.43
41        0.0041  vmlinux                  calc_global_load
41        0.0041  vmlinux                  disable_pirq
41        0.0041  vmlinux                  rb_insert_color
40        0.0040  vmlinux                  xen_evtchn_do_upcall
39        0.0039  oprofiled                code_kernel_enter
39        0.0039  xen-syms                 common_interrupt
38        0.0038  vmlinux                  ring_buffer_event_data
37        0.0037  oprofile                 oprofile_add_pc
37        0.0037  vmlinux                  HYPERVISOR_physdev_op
37        0.0037  vmlinux                  xen_clocksource_read
37        0.0037  vmlinux                  xen_do_hypervisor_callback
37        0.0037  xen-syms                 _spin_lock_irq
37        0.0037  xen-syms                 vcpu_unblock
36        0.0036  vmlinux                  cpu_from_evtchn
36        0.0036  vmlinux                  startup_pirq
36        0.0036  xen-syms                 cpu_raise_softirq
35        0.0035  oprofile                 op_add_code
